name,facebook_url,website_url,type,facebook_status,website_status,needs_facebook_url,needs_official_website_url
Alex Bevan,https://www.facebook.com/alex.bevan.73,https://alexbevan.com,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Austin Walkin' Cane,https://facebook.com/Austin-Walkin-Cane-Wire-Wood-Blues-300619069995563,https://walkincane.com/,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Brent Kirby,https://www.facebook.com/brentkirbymusic,https://www.brentkirby.com/tour,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
CORRY MICHAELS SUMM3R26 TOUR,,,unknown,missing,missing,YES,YES
Doug Ribley,,https://filiacellars.com/,solo,missing,public_listing_or_profile_not_official,YES,YES
Drum Karaoke Hosted by Billy Coakley,,,unknown,missing,missing,YES,YES
Furious George Hartwig,https://www.facebook.com/furiousgeorgehartwig,https://furiousgeorgehartwig.com/home,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Greg n Jill,,,duo,missing,missing,YES,YES
Half Craic'd,,https://craicbrothers.com/,band,missing,official_or_artist_calendar,YES,NO
J Alden Project,,,band,missing,missing,YES,YES
Jay Wonkovich,https://www.facebook.com/jaywonkovich,https://www.facebook.com/jaywonkovich,solo,confirmed_from_socials_or_scrape,facebook_only_not_website,NO,YES
Jerry Popiel,https://www.facebook.com/RyeJr,https://www.jerrypopiel.com/,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Jim Gill,https://www.facebook.com/profile.php?id=100057488046654,https://www.jimgillmusic.com/,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
John Harrow,,https://www.thebash.com/singer-guitarist/john-harrow-solo-acoustic-classics,solo,candidate_needs_review_no_events_found,public_listing_or_profile_not_official,YES,YES
John Husbands,,,solo,missing,missing,YES,YES
Just Dee Dee Music,https://www.facebook.com/JustDeeDeeMusic,https://www.justdeedeemusic.com/,solo/duo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Katy Robinson,https://www.facebook.com/katyrobinsonmusicoh,https://www.katyrobinson.net,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Little Steve-O,https://www.facebook.com/littlesteveo,https://www.littlesteveo.com/,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Madison Cummins,https://www.facebook.com/262512947154257,https://www.madisoncummins.com/showdates,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Maria Petti,https://www.facebook.com/mariapettimusic,https://www.mariapetti.com/,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Nick Music Trivia,,,event_host,missing,missing,YES,YES
Primal Rhythm,https://www.facebook.com/primalrhythmensemble,https://primalrhythm.net/,band,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Rob Rocks,https://www.facebook.com/robrockscle,https://robrockscle.com/home,solo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
Scott Bronish,,,solo,missing,missing,YES,YES
Steve & Paul,,,duo,missing,missing,YES,YES
Tim Rasor,,,solo,missing,missing,YES,YES
Victor Samalot,https://www.facebook.com/victorsamalot,https://www.victorsamalot.com/show-schedule,solo/duo,confirmed_from_socials_or_scrape,official_or_artist_calendar,NO,NO
